Name,Type,Special characteristic,Speed,Optimal Range,Ineffective Range,Activation cost,Cooldown,Arcana Requirement,Tier Restriction,special requirement,rarity,ASSIGNED ARTIST,STATUS
Ability Reset,Ability Upgrade,Clear Ability Slot,,,,,,,1,Cloudport required,Common,,
Ability Upgrade C to C,Ability Upgrade,Switch Equipped Ability,,,,,,,1,Cloudport required,C,,
Ability Upgrade C to R,Ability Upgrade,Switch Equipped Ability,,,,,,,1,Cloudport required,C,,
Ability Upgrade C to U,Ability Upgrade,Switch Equipped Ability,,,,,,,1,Cloudport required,C,,
Ability Upgrade R to R,Ability Upgrade,Switch Equipped Ability,,,,,,,1,Cloudport required,C,,
Ability Upgrade U to R,Ability Upgrade,Switch Equipped Ability,,,,,,,1,Cloudport required,C,,
Ability Upgrade U to U,Ability Upgrade,Switch Equipped Ability,,,,,,,1,Cloudport required,C,,
Arc Cannon,Weapon Upgrade,"Deal 3d6(O), +2(O)Splash Damage x1",4,Short,Medium/Long,1i1d,1,Ivory Tower,1,Hardpoint Type 2,C,,
Ballistae  ,Weapon Upgrade,Deal 2d6 (physical) ,2,Short,Medium/Long,1s1w,2,,1,Hardpoint type 2,C,,
Cannon  ,Weapon Upgrade,Deal 3d8(p)  ,2,Short/Medium,Long,1s1i,3,,1,Hardpoint type 2,C,,
Ammo Compartment,Structural Upgrade ,Can hold up to 5 Type 2 ammo hardpoints of ammunition ,,,,,,,1,empty Structural slot,U,,
Arc Cannon +1 (Order),Weapon Upgrade,"Deal 3d6+1(O), +2(O)Splash Damage x1",4,Short,Medium/Long,1i1d,1,Ivory Tower,2,Hardpoint Type 2,Uncommon,,
Arc Cannon +2 (Order),Weapon Upgrade,"Deal 3d6+2(O), +2(O)Splash Damage x1",4,Short,Medium/Long,1i1d,1,Ivory Tower,2,Hardpoint Type 2,R,,
Astral Sail Upgrade +1,Structural Upgrade,Adds +1 to your ship’s cruising velocity ,,,,,,,2,Empty Structural Upgrade slot,U,,
Gryphon Aviary (small),Hangar Upgrade,Summon a Valkyrie Griffin Squadron. Hangar pets fight for 4 turns or until killed.,3,,,2s1w,2,Leo,2,Hanger (small),U,,
Ballistae +1 (Chaos),Weapon Upgrade,Deal 2d6+1(chaos),2,Short,Medium/Long,1s1w,2,Gemini,2,Hardpoint type 2,C,,
Ballistae +1 (Dark),Weapon Upgrade,Deal 2d6+1(dark),2,Short,Medium/Long,1s1w,2,Aries,2,Hardpoint type 2,C,,
Ballistae +1 (light),Weapon Upgrade,Deal 2d6+1(light),2,Short,Medium/Long,1s1w,2,Leo,2,Hardpoint type 2,C,,
Ballistae +1 (Order),Weapon Upgrade,Deal 2d6+1(order),2,Short,Medium/Long,1s1w,2,Ivory Tower,2,Hardpoint type 2,C,,
Ballistae +1 (physical),Weapon Upgrade,Deal 2d6+1(physical),2,Short,Medium/Long,1s1w,2,,2,Hardpoint type 2,U,,
Ballistae +2 (chaos),Weapon Upgrade,Deal 2d6+2(chaos),2,Short,Medium/Long,1s1w,2,Gemini,2,Hardpoint type 2,U,,
Ballistae +2 (dark),Weapon Upgrade,Deal 2d6+2(light),2,Short,Medium/Long,1s1w,2,Aries,2,Hardpoint type 2,U,,
Ballistae +2 (light),Weapon Upgrade,Deal 2d6+2(dark),2,Short,Medium/Long,1s1w,2,Leo,2,Hardpoint type 2,U,,
Ballistae +2 (order),Weapon Upgrade,Deal 2d6+2(order),2,Short,Medium/Long,1s1w,2,Ivory Tower,2,Hardpoint type 2,U,,
Ballistae +2 (physical),Weapon Upgrade,Deal 2d6+2(physical),2,Short,Medium/Long,1s1w,2,,2,Hardpoint type 2,R,,
Beacon Torpedo launcher ,Non-combat Weapon,"If an uncharted island is found, parties can launch a torpedo to mark its position. ",4,,,1i1d,5,,2,Hardpoint Type 2,R,,
Cannon +1 (chaos),Weapon Upgrade,Deal 3d8(p) +1(c),2,Short/Medium,Long,1s1i,3,Gemini,2,Hardpoint type 2,C,,
Cannon +1 (Dark),Weapon Upgrade,Deal 3d8(p) +1(d),2,Short/Medium,Long,1s1i,3,Aries,2,Hardpoint type 2,C,,
Cannon +1 (light),Weapon Upgrade,Deal 3d8(p) +1(l),2,Short/Medium,Long,1s1i,3,Leo,2,Hardpoint type 2,C,,
Cannon +1 (order),Weapon Upgrade,Deal 3d8(p) +1(o),2,Short/Medium,Long,1s1i,3,Ivory Tower,2,Hardpoint type 2,C,,
Cannon +1 (physical),Weapon Upgrade,Deal 3d8+1(p)  ,2,Short/Medium,Long,1s1i,3, ,2,Hardpoint type 2,U,,
